resolution,Comment,n,RGB,TPI,RGB + NDVI,RGB + TPI,RGB + TPI + NDVI
2.0,Ant,67,0.07,0.01,0.19,0.03,0.03
2.0,Den,8,0.38,0.5,0.12,0.5,0.12
2.0,Dig,6,0.17,0.17,0.17,0.17,0.17
2.0,Old,27,0.07,0.15,0.04,0.11,0.07
2.0,Overall,108,0.06,0.05,0.09,0.05,0.03
5.0,Ant,67,0.03,0.01,0.01,0.04,0.04
5.0,Den,8,0.38,0.25,0.12,0.38,0.12
5.0,Dig,6,0.17,0.17,0.17,0.17,0.17
5.0,Old,27,0.07,0.3,0.04,0.11,0.11
5.0,Overall,108,0.06,0.06,0.03,0.05,0.04
10.0,Ant,67,0.22,0.01,0.04,0.01,0.0
10.0,Den,8,0.38,0.38,0.12,0.38,0.12
10.0,Dig,6,0.17,0.17,0.0,0.17,0.17
10.0,Old,27,0.07,0.07,0.04,0.04,0.11
10.0,Overall,108,0.12,0.04,0.05,0.03,0.03
15.0,Ant,67,0.15,0.03,0.21,0.0,0.06
15.0,Den,8,0.38,0.5,0.12,0.38,0.12
15.0,Dig,6,0.17,0.17,0.0,0.17,0.17
15.0,Old,27,0.0,0.07,0.0,0.0,0.0
15.0,Overall,108,0.11,0.06,0.14,0.03,0.06
30.0,Ant,67,0.1,0.07,0.0,0.06,0.13
30.0,Den,8,0.25,0.0,0.0,0.25,0.0
30.0,Dig,6,0.17,0.17,0.0,0.0,0.0
30.0,Old,27,0.0,0.04,0.0,0.04,0.0
30.0,Overall,108,0.19,0.09,0.0,0.12,0.21
