resolution,inputs,ha_diff_sum_all,ha_diff_abs_all,ha_diff_pct_all,ha_diff_sum_active,ha_diff_abs_active,ha_diff_pct_active
5cm,RGB,16.9,127.56,0.19,-19.66,91.0,0.13
5cm,TPI,339.38,339.38,0.5,220.04,220.04,0.33
5cm,RGB + TPI,250.02,250.02,0.37,159.76,159.76,0.24
5cm,RGB + TPI + NDVI,272.82,272.82,0.4,172.63,172.63,0.26
10cm,RGB,61.12,84.63,0.25,2.05,25.56,0.08
10cm,TPI,-13.02,42.82,0.13,-27.92,27.92,0.08
10cm,RGB + TPI,-43.89,76.65,0.23,-60.27,60.27,0.18
10cm,RGB + TPI + NDVI,-88.56,121.85,0.18,-105.2,105.2,0.16
15cm,RGB,-177.52,208.85,0.62,-193.19,193.19,0.57
15cm,TPI,-16.47,62.8,0.19,-27.49,51.78,0.15
15cm,RGB + TPI,-118.3,135.02,0.4,-126.66,126.66,0.38
15cm,RGB + TPI + NDVI,-262.69,284.67,0.84,-273.68,273.68,0.81
